region,year,temp_anomaly,temp_lower,temp_upper
Northern Hemisphere,2008,1.0535644,1.0242481,1.0828806
Southern Hemisphere,2008,0.5927347,0.5407321,0.6447373
World,2008,0.82314956,0.7906812,0.85561794
Northern Hemisphere,2009,1.0882735,1.0556754,1.1208717
Southern Hemisphere,2009,0.81966156,0.7738078,0.8655153
World,2009,0.9539675,0.9231017,0.9848333
Northern Hemisphere,2010,1.301561,1.2700651,1.3330569
Southern Hemisphere,2010,0.77365375,0.7271047,0.82020277
World,2010,1.0376073,1.0069752,1.0682396
Northern Hemisphere,2011,1.1100304,1.07894,1.1411208
Southern Hemisphere,2011,0.68312347,0.63663155,0.72961533
World,2011,0.8965769,0.8656566,0.9274972
Northern Hemisphere,2012,1.1659653,1.1354038,1.1965269
Southern Hemisphere,2012,0.70497787,0.6521199,0.7578358
World,2012,0.93547153,0.9037727,0.9671704
Northern Hemisphere,2013,1.1607151,1.1287202,1.1927102
Southern Hemisphere,2013,0.80449116,0.7490237,0.85995865
World,2013,0.98260313,0.94711965,1.0180867
Northern Hemisphere,2014,1.2920917,1.2600284,1.324155
Southern Hemisphere,2014,0.7715462,0.72007054,0.8230218
World,2014,1.031819,0.9993273,1.0643106
Northern Hemisphere,2015,1.5121058,1.4776133,1.5465982
Southern Hemisphere,2015,0.85171485,0.80134934,0.90208036
World,2015,1.1819104,1.148253,1.2155677
Northern Hemisphere,2016,1.6336992,1.6020511,1.6653472
Southern Hemisphere,2016,0.943859,0.89554805,0.99216986
World,2016,1.2887791,1.2575042,1.3200539
Northern Hemisphere,2017,1.4960476,1.4651899,1.5269053
Southern Hemisphere,2017,0.90478563,0.85409623,0.955475
World,2017,1.2004167,1.1683854,1.2324479
Northern Hemisphere,2018,1.3412789,1.3081236,1.3744342
Southern Hemisphere,2018,0.8930379,0.8463378,0.9397381
World,2018,1.1171584,1.0857053,1.1486115
Northern Hemisphere,2019,1.5428567,1.5090313,1.5766821
Southern Hemisphere,2019,0.95974946,0.90983653,1.0096624
World,2019,1.2513031,1.2179996,1.2846066
Northern Hemisphere,2020,1.6665239,1.6299633,1.7030846
Southern Hemisphere,2020,0.89388347,0.84273356,0.9450333
World,2020,1.2802037,1.2460152,1.3143922
Northern Hemisphere,2021,1.4791758,1.4434086,1.5149429
Southern Hemisphere,2021,0.7833693,0.7307064,0.8360323
World,2021,1.1312726,1.0963446,1.1662005
Northern Hemisphere,2022,1.4952878,1.4571283,1.5334474
Southern Hemisphere,2022,0.83631855,0.7775342,0.895103
World,2022,1.1658032,1.1287576,1.2028489
Northern Hemisphere,2023,1.8109429,1.7737389,1.8481469
Southern Hemisphere,2023,1.136586,1.0791737,1.1939981
World,2023,1.4737644,1.4368042,1.5107247
Northern Hemisphere,2024,1.9177872,1.8716903,1.9638842
Southern Hemisphere,2024,1.1481428,1.0971317,1.1991538
World,2024,1.5329651,1.4937952,1.572135
Northern Hemisphere,2025,1.7197852,1.6696551,1.7699153
Southern Hemisphere,2025,1.1041952,1.0543483,1.1540421
World,2025,1.4119903,1.3725953,1.4513854
