uri,author_handle,author_name,text,created_at,indexed_at,reply_count,repost_count,like_count,quote_count,bookmark_count,in_reply_to,in_reply_root,quotes
at://did:plc:wtbmgnni3wqjoejzmzpdmkyo/app.bsky.feed.post/3l5rapfx4rv2q,rodrigaocrocha.bsky.social,Rodrigo Rocha,"O FASCISMO NÃO SE DISCUTE, SE DESTRÓI!
#forafascistas #eleições2024",2024-10-05T12:09:58Z,2024-10-05T12:09:58Z,0,0,0,0,0,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5qhg2bn7j2a,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5qhg2bn7j2a,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l5qh32byml2g,mbf.net.br,Mateus BF,"[ #eleições2024 - AMAZÔNIA SECA DE PLANOS]

candidatos de capitais na Amazônia não falam da crise climática ou, simplesmente, não têm planos do q fazer

Rio Branco/AC
Boa Vista/RR
Porto Velho/RO
Palmas/TO

Vc vai eleger ESSES prefeitos?

matéria👇 do @brafa.bsky.social com @giovanagirardi.bsky.social",2024-10-05T04:31:13Z,2024-10-05T04:31:13Z,0,0,4,0,0,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l5pjaa55zk2r,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l5pjaa55zk2r,at://did:plc:6okfkqs5whr275g4aahfnboz/app.bsky.feed.post/3l5pe4o4f5l2l
at://did:plc:vjpwkfwxuysxliab57pryctp/app.bsky.feed.post/3l5pt7nsu3e2x,mprjoficial.bsky.social,Ministério Público do Rio de Janeiro,#juristt #jurisky #eleições2024 #eleicoesRJ,2024-10-04T22:35:53Z,2024-10-04T22:35:53Z,0,0,0,0,0,at://did:plc:vjpwkfwxuysxliab57pryctp/app.bsky.feed.post/3l5pt62et742k,at://did:plc:vjpwkfwxuysxliab57pryctp/app.bsky.feed.post/3l5psywrruc2y,NA
at://did:plc:ykhmrwsg2gtgryiugabodxdf/app.bsky.feed.post/3l5pm6hdim52l,magnesio.bsky.social,Maneco Magnesio Guimarães 🍉🇵🇸,"ATO PELA CULTURA: NUNES NUNCA MAIS!
Teatro Municipal, São Paulo

#culturasp #culturasãopaulo #eleicoes2024 #eleiçõesmunicipais2024 #fotografaspelademocracia #fotografospelademocracia 

©Magnesio 2024. Fotografias protegidas pela Lei de Direitos Autorais - Lei nº 9.610.",2024-10-04T20:29:57Z,2024-10-04T20:29:57Z,1,1,1,0,0,at://did:plc:ykhmrwsg2gtgryiugabodxdf/app.bsky.feed.post/3l5plofd7ex24,at://did:plc:ykhmrwsg2gtgryiugabodxdf/app.bsky.feed.post/3l5plofd7ex24,NA
at://did:plc:4nc2htty6alotlnsviwsgnio/app.bsky.feed.post/3l5pj667eoc2q,blackmnyamax77.bsky.social,Black' Mnyama X Ⓐ 🏴,"Organize-se coletivamente! Viva como você gostaria de viver e vamos enfrentar juntas o Estado e os capitalistas quando tentarem nos impedir de transformar este mundo"".
#eleiçoes2024 #democracia #política #movimentossociais #anarquismo #boulos #mtst

Créditos: Antimídia

antimidia.org/os-movimento...",2024-10-04T19:36:06Z,2024-10-04T19:36:06Z,0,0,0,0,0,at://did:plc:4nc2htty6alotlnsviwsgnio/app.bsky.feed.post/3l5pj3xx4lb2z,at://did:plc:4nc2htty6alotlnsviwsgnio/app.bsky.feed.post/3l5pj2kbub323,NA
at://did:plc:b6xtxubgh56ze6bur4n57nw4/app.bsky.feed.post/3l5pemrcwfy2p,jumacosta.bsky.social,Juma Costa,"m.youtube.com/watch?v=O0sd...
Candidato a vereador do PL CHUTA boca e peito de idoso após repreensão por estacionar em vaga de deficiente!
Depois AMEAÇOU a família da vítima.
O idoso disse ser amigo da família do candidato bolsonarista, que o pai do meliante é vítima tanto quanto ele.
#eleicoes2024",2024-10-04T18:14:38Z,2024-10-04T18:14:38Z,0,0,0,0,0,at://did:plc:nfdmsaws5fefzhvf4ushiiy2/app.bsky.feed.post/3l5pcspozt7h2,at://did:plc:nfdmsaws5fefzhvf4ushiiy2/app.bsky.feed.post/3l5pcspozt7h2,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l5p2k42jch2n,mbf.net.br,Mateus BF,"[ #eleições2024 - NÚMEROS DA BOIADA]

ℹ️Sinop(MT), fundada na ditadura militar em 1974, é acrônimo de Sociedade Imobiliária Noroeste do Paraná(?)
↪️de 1987 a 2023, 205k ha de floresta foram desmatados = 2 cidades do Rio
↪️hj tem 216k hab. e 156k ha de commodities
ℹ️em 2022, foi o maior PIB do Agro de MT",2024-10-04T15:14:20Z,2024-10-04T15:14:20Z,1,0,2,0,0,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l5oyh4owqj22,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l42kuhxcvt2g,NA
at://did:plc:rpm24svw7xy7hrwijzoahxwc/app.bsky.feed.post/3l5oypf7am52g,breiceonce.bsky.social,Vitor Breice 🚩 🇧🇷,"É válido que, no calor de uma campanha eleitoral, candidatos proponham soluções criativas para combater a criminalidade. No entanto, afirmar que seria possível implementar um período sem crimes por um mês parece ser um salto da realidade para uma ficção quase cômica.

(+)
#PREFEITURA #ELEIÇÕES2024",2024-10-04T14:41:30Z,2024-10-04T14:41:30Z,1,0,0,0,0,at://did:plc:rpm24svw7xy7hrwijzoahxwc/app.bsky.feed.post/3l5oynlzyeo22,at://did:plc:rpm24svw7xy7hrwijzoahxwc/app.bsky.feed.post/3l5oynlzyeo22,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l5oyh4owqj22,mbf.net.br,Mateus BF,"[ #eleições2024 - NOME AOS🐮]

ℹ️Sinop (MT) é 1 das 2.748 cidades onde a eleição pra prefeitura será entre apenas 2 candidaturas
✖️Roberto Dorner (PL) - reeleição: dono da afiliada do SBT na cidade
✖️Mirtes da Transterra (NOVO): família dona de maior construtora da cidade

ℹ️em 2020, foram 6 candidaturas",2024-10-04T14:36:52Z,2024-10-04T14:36:52Z,3,2,13,0,0,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l42lompusb2j,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l42kuhxcvt2g,NA
at://did:plc:lz3pksmbxyjbp3cuxeacm7vy/app.bsky.feed.post/3l5o2b4wwal27,luma11.bsky.social,NA,"A sociedade parece que não quer mudanças e sim encher nossa Circolítica de mais Palharçal!!!!
rsrs...
#Eleições2024 
#SãoPaulo",2024-10-04T05:36:39Z,2024-10-04T05:36:39Z,0,0,0,0,0,at://did:plc:iddtdjw5gujvbxbzjm45wlgb/app.bsky.feed.post/3l5ntimisjl2x,at://did:plc:iddtdjw5gujvbxbzjm45wlgb/app.bsky.feed.post/3l5ntimisjl2x,NA
